tick,x,y,z,dx,dy,dz,yaw,pitch,onGround,sprinting,sneaking,keyUp,keyDown,keyLeft,keyRight,keyJump,keyShift,keySprint
43,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1117229267,1078151512,1,0,0,0,0,0,0,0,0,1
44,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1117229267,1078151512,1,0,0,0,0,0,0,0,0,1
45,4616613778007216231,4633359591634108416,-4592761354404840386,-4633857737834616874,-4633058300709086167,4580720648124994877,1117175543,1068425764,1,1,0,1,0,0,0,0,0,1
46,4616400048670562342,4633359591634108416,-4592768739673825242,-4631239057384084662,-4633058300709086167,4583915489228661570,1117008402,1064621612,1,1,0,1,0,0,0,0,0,1
47,4616101186848979375,4633359591634108416,-4592777684923817748,-4629809257692019083,-4633058300709086167,4585162146668521616,1117008402,1064621612,1,1,0,1,0,0,0,0,0,1
48,4615546780335616610,4633359591634108416,-4592787385961507735,-4629360720700941728,-4633058300709086167,4585584710642416016,1117050188,1067661686,1,1,0,1,0,0,0,0,0,1
49,4614967382516162815,4633359591634108416,-4592797418471126794,-4629142396625571572,-4633058300709086167,4585770037945373857,1117086003,1069571881,1,1,0,1,0,0,0,0,0,1
50,4614613358212022272,4633359591634108416,-4592807549011800294,0,-4633058300709086167,4585824847506402761,1117121819,1071864114,1,1,0,1,0,0,0,0,0,1
51,4614613358212022272,4633418701377372160,-4592816223345333229,0,4599674017386589685,4585010676174715803,1117366562,1075095202,0,0,0,1,0,0,0,1,0,1
52,4614613358212022272,4633465595107596252,-4592821375003868253,0,4598108061816866538,4584961342663421626,1117957527,1075477240,0,0,0,1,0,0,0,1,0,1
53,4614569223043658914,4633500517144808483,-4592826056930614083,-4642573950887229092,4595104603415595319,4584382834897562559,1119109613,1077769474,0,0,0,1,0,0,0,1,0,0
54,4614485566603839897,4633523706922640748,-4592829848759968176,-4638339064623507252,4590650808332220283,4582723978142722071,1120375116,1066515574,0,0,0,1,0,0,0,0,0,0
55,4614353706206286807,4633535399086056872,-4592832447356355246,-4635531666044166103,4569101448040898630,4580500173662650749,1120894449,1068807806,0,1,0,1,0,0,0,0,0,1
56,4614180681733763231,4633535823587125878,-4592833443274456334,-4633669143406516438,-4633271298369615887,4574074312954194201,1122034595,1083579322,0,1,0,1,0,0,0,0,0,1
57,4613974696490238313,4633525205778879794,-4592832436876096779,-4632709325727295585,-4628715563038355714,-4649219596505932059,1123318006,1088259298,0,1,0,1,0,0,0,0,0,1
58,4613740547076125116,4633503766507294307,-4592829437979932079,-4631889185056128569,-4626000674262927107,-4642125832481050906,1123747798,1089882962,0,1,0,1,0,0,0,0,0,1
59,4613480768266037950,4633500329122463744,-4592824625910712442,-4631142857023857540,-4633058300709086167,-4638746658024638885,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
60,4613010855326416731,4633500329122463744,-4592809831558097731,-4630497296356898719,-4633058300709086167,-4634939633133920186,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
61,4612520768615953049,4633500329122463744,-4592791338471133211,-4630144820191798170,-4633058300709086167,-4633537836144021899,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
62,4612019667025329975,4633500329122463744,-4592770825874979124,-4629952368183299463,-4633058300709086167,-4632973278245485135,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
63,4611339084191494728,4633500329122463744,-4592749210626679457,-4629847289374453990,-4633058300709086167,-4632665029597080172,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
64,4610314356145174430,4633500329122463744,-4592727167569309017,-4629755590939155497,-4633058300709086167,-4632545434701835954,1123658258,1089023375,1,1,0,1,0,0,0,0,0,1
65,4609270024251933331,4633500329122463744,-4592705543931656063,-4629642374324716532,-4633058300709086167,-4632662684336317583,1123329943,1089787452,1,1,0,1,0,0,0,0,0,1
66,4607425269367058730,4633559438865727488,-4592670570015160930,-4626146126291162999,4599674017386589685,-4629315501844402833,1123049383,1090456021,0,1,0,1,0,0,0,1,0,1
67,4605452037073870924,4633606332595951580,-4592649760831402122,-4626137474720530013,4598108061816866538,-4629356308976078458,1122834488,1090774060,0,1,0,1,0,0,0,1,0,1
68,4603230661430795661,4633641254633163811,-4592629204191984872,-4626118208990414847,4595104603415595319,-4629415141707583268,1122613623,1090869570,0,1,0,1,0,0,0,1,0,1
69,4599325134191541450,4633664444410996076,-4592608956675402839,-4626091603845168663,4590650808332220283,-4629487154965350802,1122428573,1090869570,0,1,0,1,0,0,0,0,0,1
70,4589369200636256352,4633676136574412200,-4592589104691774684,-4626055295239135575,4569101448040898630,-4629579298324941724,1122165921,1090869570,0,1,0,1,0,0,0,0,0,1
71,-4627546950075646148,4633676561075481206,-4592569792538333505,-4626005410935580632,-4633271298369615887,-4629709697400978132,1121760005,1090917325,0,1,0,1,0,0,0,0,0,1
72,-4621832217768917366,4633665943267235122,-4592551206838290051,-4625941824345072595,-4628715563038355714,-4630048166577801116,1121240670,1091108345,0,1,0,1,0,0,0,0,0,1
73,-4618972542725929445,4633644503995649635,-4592533558552511028,-4625867779325470448,-4626000674262927107,-4630484926644471883,1120643735,1091394875,0,1,0,1,0,0,0,0,0,1
74,-4616700771137628032,4633641066610819072,-4592519686542622359,-4625934767744504919,-4633058300709086167,-4632244369158012717,1120178124,1091633650,1,1,0,1,0,1,0,1,0,1
75,-4614065529876415801,4633700176354082816,-4592516338794945647,-4624503228585208930,4599674017386589685,-4644731457735931860,1119754299,1091681405,0,1,0,1,0,1,0,1,0,1
76,-4612678543486161808,4633747070084306908,-4592516935870174001,-4624651786330844691,4598108061816866538,4571048480075497387,1119551341,1091681405,0,1,0,1,0,1,0,1,0,1
77,-4611493854986787315,4633781992121519139,-4592517365772721186,-4624688675730923074,4595104603415595319,4568556028944134145,1119330476,1091824670,0,1,0,1,0,0,0,1,0,1
78,-4610810011478601189,4633805181899351404,-4592517757671655598,-4624722036053798815,4590650808332220283,4567989416343380449,1119091703,1092063445,0,1,0,1,0,0,0,1,0,1
79,-4610130380194841396,4633816874062767528,-4592518251787030313,-4624752701048506278,4569101448040898630,4569513406271020063,1118805174,1092397730,0,1,0,1,0,0,0,0,0,1
80,-4609454815054938804,4633817298563836534,-4592519052236335239,-4624782302576639808,-4633271298369615887,4572617147768074792,1118357472,1092875280,0,1,0,1,0,0,0,0,0,1
81,-4608783322830583062,4633806680755590450,-4592520318039424708,-4624811953402675407,-4628715563038355714,4575871725720591869,1117963494,1093114055,0,1,0,1,0,0,0,0,0,1
82,-4608115797915898974,4633785241484004963,-4592522105670931245,-4624840835417917428,-4626000674262927107,4577816768145289484,1117754567,1092827525,0,1,0,1,0,0,0,0,0,1
83,-4607451883253120139,4633781804099174400,-4592524368166310999,-4624867118052545128,-4633058300709086167,4579586756802775080,1117754567,1092827525,1,1,0,1,0,0,0,0,0,1
84,-4606873902395820158,4633781804099174400,-4592529605790885434,-4626459575588263397,-4633058300709086167,4581513975788831498,1117754567,1092827525,1,1,0,1,0,0,0,0,0,1
85,-4606490721164842559,4633781804099174400,-4592535644287954765,-4627509073318964518,-4633058300709086167,4582409517923623591,1117754567,1092827525,1,1,0,1,0,0,0,0,0,1
86,-4606140336737949370,4633781804099174400,-4592542120061457100,-4628082099146485786,-4633058300709086167,4582898483986014767,1117754567,1092827525,1,1,0,1,0,0,0,0,0,1
87,-4605807859368166220,4633781804099174400,-4592548834587919587,-4628394971284653320,-4633058300709086167,4583165459487090255,1117754567,1092827525,1,1,0,1,0,0,0,0,0,1
88,-4605485220605133489,4633781804099174400,-4592555721758845919,-4628566871441763294,-4633058300709086167,4583358511930140787,1117736659,1092158957,1,1,0,1,0,0,0,0,0,1
89,-4605168204654828068,4633781804099174400,-4592562870459673598,-4628665113237145889,-4633058300709086167,4583650956792034528,1117665026,1092111202,1,1,0,1,0,0,0,0,0,1
90,-4604854282203823785,4633781804099174400,-4592570177147004714,-4628719162863213375,-4633058300709086167,4583827618584590079,1117659057,1092111202,1,1,0,1,0,0,0,0,0,1
91,-4604542291708311504,4633781804099174400,-4592577723549532163,-4628752917993490379,-4633058300709086167,4584095670065985600,1117593394,1092206712,1,1,0,1,0,0,0,0,0,1
92,-4604232075361465771,4633781804099174400,-4592585819310328103,-4628783915922592798,-4633058300709086167,4584687193805597842,1117414314,1092349977,1,1,0,1,0,0,0,0,0,1
93,-4603988898851959677,4633781804099174400,-4592606039663332543,-4630210055256415911,-4633058300709086167,4590317061442831258,1117163602,1092349977,1,1,0,1,0,1,0,0,0,1
94,-4603786991448027560,4633781804099174400,-4592633206392361821,-4631652163049097574,-4633058300709086167,4592258934978880381,1116889011,1092397732,1,1,0,1,0,1,0,0,0,1
95,-4603612387165983071,4633781804099174400,-4592664471446944394,-4632606243451157770,-4633058300709086167,4593404630217030628,1116614421,1092397732,1,1,0,1,0,1,0,0,0,1
96,-4603456254812515271,4633781804099174400,-4592698184945551865,-4633251726598316177,-4633058300709086167,4593880358819243848,1116411465,1092493242,1,1,0,1,0,1,0,0,0,1
97,-4603313622987278722,4633781804099174400,-4592733423675440072,-4633723489111625469,-4633058300709086167,4594093549571502612,1116220446,1092636507,1,1,0,1,0,1,0,0,0,1
98,-4603103805893783675,4633781804099174400,-4592759698253518094,-4631375766824906391,-4633058300709086167,4592009532367186241,1116065244,1092779772,1,1,0,1,0,0,0,0,0,1
99,-4602665909077190939,4633840913842438144,-4592792926439714847,-4626327517282049263,4599674017386589685,4593812523783844015,1115921981,1092970792,0,1,0,1,0,0,0,1,0,1
100,-4602529854400430215,4633887807572662236,-4592812592910061272,-4626280191961332562,4598108061816866538,4593749521354476749,1115796625,1093114057,0,1,0,1,0,0,0,1,0,1
101,-4602393143849662375,4633922729609874467,-4592832057018022701,-4626241993858057285,4595104603415595319,4593702379011909472,1115695146,1093161812,0,1,0,1,0,0,0,1,0,1
102,-4602255964054775842,4633945919387706732,-4592851400976358869,-4626214665079796954,4590650808332220283,4593674388954401816,1115406961,1093161812,0,1,0,1,0,0,0,0,0,1
103,-4602127280770394751,4633957611551122856,-4592872534320124182,-4626709501865895028,4569101448040898630,4594091244195989190,1114702577,1093209567,0,1,0,1,0,1,0,0,0,1
104,-4602007234095959156,4633958036052191862,-4592895350009210701,-4627212498043616985,-4633271298369615887,4594483163373312363,1113747479,1093066302,0,1,0,1,0,1,0,0,0,1
105,-4601895515575531864,4633947418243945778,-4592919718722974522,-4627697529747039089,-4628715563038355714,4594844956012563369,1113257991,1092827527,0,1,0,1,0,1,0,0,0,1
106,-4601791386740637818,4633925978972360291,-4592945501162853200,-4628139553045234378,-4626000674262927107,4595174297657772112,1113246052,1092827527,0,1,0,1,0,1,0,0,0,1
107,-4601694164519778074,4633893934666495786,-4592972570093533475,-4628541794258184614,-4624268450260362036,4595473998563549395,1113246052,1092827527,0,1,0,1,0,1,0,0,0,1
108,-4601603227317870677,4633851497426835568,-4593000809730876942,-4628907833772518524,-4622964760619654472,4595746726395666693,1113246052,1092827527,0,1,0,1,0,1,0,0,0,1
109,-4601518044071198733,4633798875111857323,-4593030116177972096,-4629242944135089086,-4621687144746895153,4595995250402582125,1113210235,1092779772,0,1,0,1,0,1,0,0,0,1
110,-4601428881235805275,4633781804099174400,-4593058878460480533,-4629011172881268516,-4633058300709086167,4595868481816807000,1113138602,1092732017,1,1,0,1,0,0,0,0,0,1
111,-4601289880147055065,4633781804099174400,-4593095645821873328,-4629346761954770159,-4633058300709086167,4594307215593505735,1113007277,1092732017,1,1,0,1,0,0,0,0,0,1
112,-4601157184190267739,4633781804099174400,-4593126667664335069,-4629567088511672690,-4633058300709086167,4593336639774330488,1112637176,1092779772,1,1,0,1,0,0,0,0,0,1
113,-4601011869512486036,4633781804099174400,-4593141894346704606,-4629126139874027828,-4633058300709086167,4588674121044174191,1112111873,1092827527,1,1,0,1,0,0,1,0,0,1
114,-4600795076649380532,4633840913842438144,-4593180905553404311,-4626628405875954548,4599674017386589685,4594620851351554026,1111550753,1092732017,0,1,0,1,0,0,0,1,0,1
115,-4600666359069379306,4633887807572662236,-4593204688798922271,-4626707504488920798,4598108061816866538,4594708565326076992,1111013511,1092684262,0,1,0,1,0,0,0,1,0,1
116,-4600549704500200062,4633922729609874467,-4593229988771809394,-4627410054259440366,4595104603415595319,4595061902144180229,1110213617,1092732017,0,1,0,1,0,1,0,1,0,1
117,-4600445199779788177,4633945919387706732,-4593256647570253311,-4628117661472044492,4590650808332220283,4595378454155014006,1109007807,1092970792,0,1,0,1,0,1,0,0,0,1
118,-4600352257846717088,4633957611551122856,-4593284526285428364,-4628791078226180207,4569101448040898630,4595662645964889823,1108482503,1093496097,0,1,0,1,0,1,0,0,0,1
119,-4600269826946397984,4633958036052191862,-4593313515537560578,-4629403240791298230,-4633271298369615887,4595921356661885949,1108494442,1093782626,0,1,0,1,0,1,0,0,0,1
120,-4600196961086158849,4633947418243945778,-4593343515378352933,-4630220200546350577,-4628715563038355714,4596156783402937382,1108494442,1093782626,0,1,0,1,0,1,0,0,0,1
121,-4600122107357136345,4633925978972360291,-4593373695324494520,-4629988653583790669,-4626000674262927107,4596198740746303734,1108494442,1093782626,0,1,0,1,0,0,0,0,0,1
122,-4600045444667468842,4633922541587529728,-4593404039166508632,-4629777945841788592,-4633058300709086167,4596236921929867489,1108494442,1093782626,1,1,0,1,0,0,0,0,0,1
123,-4599932952640881316,4633922541587529728,-4593446052516563080,-4630845772524288091,-4633058300709086167,4595040478989847519,1108494442,1093782626,1,1,0,1,0,0,0,0,0,1
124,-4599829029764601380,4633922541587529728,-4593483434139804674,-4631444653370546475,-4633058300709086167,4594393074667656279,1108434749,1093496097,1,1,0,1,0,0,0,0,0,1
125,-4599669172019028128,4633981651330793472,-4593542035830797001,-4628617946854091976,4599674017386589685,4597359131202097972,1107825875,1093448342,0,1,0,1,0,0,0,1,0,1
126,-4599574265717664887,4634028545061017564,-4593577069878427971,-4628676673413548176,4598108061816866538,4597329552261860188,1107324449,1093543852,0,1,0,1,0,0,0,1,0,1
127,-4599491450601713233,4634063467098229795,-4593612500801784437,-4629380864072213653,4595104603415595319,4597422008433536221,1106755706,1093543852,0,1,0,1,0,1,0,0,0,1
128,-4599419919553487504,4634086656876062060,-4593648274572747539,-4630375679454152982,4590650808332220283,4597501878214279955,1106158770,1093543852,0,1,0,1,0,1,0,0,0,1
129,-4599359104639687316,4634098349039478184,-4593697036218939907,-4631623894828013398,4569101448040898630,4597567042885129078,1105203673,1093496097,0,1,0,1,0,1,0,0,0,1
130,-4599308987509291350,4634098773540547190,-4593769489847894911,-4632869972674848870,-4633271298369615887,4597607419234436362,1103150214,1093400587,0,1,0,1,0,1,0,0,0,1
131,-4599258800600011386,4634088155732301106,-4593842219158510840,-4632861844830206558,-4628715563038355714,4597639530635226247,1100284924,1093400587,0,1,0,1,0,0,0,0,0,1
